,start,end,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
481,1360343100000,1360343400000,0.0001,0.0001,0.0001,0.0001,88.23529411764706,0.0001,0.0001,59.09984410053558,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,144.7651488282892,0.0001,17059.917122678416,0.0001,19601.533352639388,5620.159304511278,0.0001,3403.125,13924.8046875,88.23529411764706,0.0001,4910.15625,0.0001,0.0001,0.0001,9968.272037871802,1400.8199321364214,0.0001,1459.25386342053,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3341.9596354166665,116.58277175651897,0.0001,0.0001,63109.021661044484,0.0001,0.0001,2589.34470007287,30.273437500000004,140.43201783523782
482,1360343400000,1360343700000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,12083.145772281274,0.0001,14821.847535797731,0.0001,0.0001,0.0001,11436.240931904807,0.0001,0.0001,10814.101855936744,0.0001,58850.08482275677,4335.686584905859,0.0001,4005.2083333333335,22481.770833333332,88.23529411764706,0.0001,3304.3075592651185,0.0001,0.0001,0.0001,13302.54623634004,3344.0563725490197,49.26023650006075,6724.823512597408,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4286.830357142858,70.93583776595744,0.0001,0.0001,0.0001,0.0001,0.0001,1571.840733461827,0.0001,6986.909652604191
483,1360343700000,1360344000000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2808.9025755879056,0.0001,583.3333333333334,0.0001,0.0001,0.0001,18682.824373451607,1111.737753929177,0.0001,5300.367086844417,0.0001,12258.7998184891,5453.090605345912,0.0001,0.0001,10485.746343085106,0.0001,0.0001,5651.504104482155,0.0001,0.0001,146554.296875,615.5014443548115,4777.901785714285,66.89453125,21806.920813695768,0.0001,0.0001,0.0001,3926.682692307692,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,7395.368303571428,1041.3535030285723,0.0001,0.0001,0.0001,0.0001,0.0001,3001.261404539414,71.62143640350877,4792.667572089351
484,1360344000000,1360344300000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,5674.019205894294,0.0001,9387.5,0.0001,0.0001,0.0001,11405.548473460265,1748.0304621848738,0.0001,5509.203169984825,0.0001,29816.256038715543,52.0497311827957,0.0001,135.41666666666666,0.0001,0.0001,16.843971631205676,16336.2478627748,0.0001,0.0001,32040.798611111106,141510.66542644842,4871.3942307692305,31.914893617021278,26562.05852594618,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,338.54166666666663,707.2773870393743,0.0001,0.0001,25454.074002397607,0.0001,0.0001,2385.8557016634736,0.0001,1312.4767261605055
485,1360344300000,1360344600000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,32271.87975134416,0.0001,1200.6221064814813,0.0001,0.0001,0.0001,14270.10373822032,358.60980165667667,0.0001,114.5379710905698,0.0001,3757.8125,0.0001,0.0001,0.0001,0.0001,0.0001,4936.231723954854,14610.85835919521,0.0001,0.0001,2889.0625,1159.3937752631043,4194.866071428572,0.0001,28692.31733943217,0.0001,0.0001,0.0001,12.907608695652172,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4796.139331295581,9456.634964825085,0.0001,17.43521341463415,856.410517962165,0.0001,0.0001,2019.3764509853336,69.69572368421052,1261.7327015159578
486,1360344600000,1360344900000,0.0001,0.0001,34.57446808510638,0.0001,0.0001,0.0001,0.0001,1265.879783561818,0.0001,2669.165614478114,0.0001,0.0001,0.0001,92603.61074968509,384.4832935704646,0.0001,4514.647446650552,0.0001,22282.112807916943,3641.169306264172,0.0001,0.0001,0.0001,0.0001,2526.8893022146167,16709.70343969205,6390.625,0.0001,2177.083333333333,398.73332324601887,6167.96875,0.0001,39065.93162658815,0.0001,0.0001,0.0001,10.117180396435716,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,137344.22478621057,2222.667476042707,0.0001,0.0001,0.0001,0.0001,0.0001,1578.049433229151,0.0001,2127.204979852397
487,1360344900000,1360345200000,0.0001,0.0001,46.87499999999999,0.0001,0.0001,0.0001,0.0001,3279.1868492013505,0.0001,0.0001,0.0001,0.0001,0.0001,9147.191910970863,1494.079727357563,0.0001,4855.646801940562,0.0001,16276.167207021028,2950.050603439663,359.375,0.0001,0.0001,0.0001,477.3308428893379,27439.993034597468,0.0001,0.0001,0.0001,4764.918314257643,4980.46875,18.64551671732523,17376.828641946544,0.0001,0.0001,0.0001,0.0001,0.0001,87871.84427934061,0.0001,0.0001,0.0001,0.0001,0.0001,609.375,8424.924842862794,0.0001,0.0001,8288.644284801154,0.0001,0.0001,1600.3234972254788,0.0001,749.6336557657183
488,1360345200000,1360345500000,16.07142857142857,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,25778.185991661794,0.0001,0.0001,0.0001,0.0001,0.0001,6816.51886691885,0.0001,0.0001,1185.3004030267753,0.0001,6505.9620546767555,16828.524305555555,0.0001,0.0001,0.0001,0.0001,48.479659506759155,18766.923963385983,0.0001,0.0001,7125.0,0.0001,4164.0625,55.37168966914569,16384.88545521931,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,11808.925090504039,499.35977082998767,0.0001,0.0001,54905.77543682431,0.0001,0.0001,2229.6173878205127,0.0001,314.83276963149956
489,1360345500000,1360345800000,0.0001,0.0001,34.5732586512866,0.0001,0.0001,0.0001,0.0001,865.58998678491,0.0001,0.0001,0.0001,0.0001,0.0001,19.556247857326515,0.0001,0.0001,73.42021976447441,0.0001,79.49013157894737,62.54553081409222,0.0001,0.0001,0.0001,77.25183823529412,8776.419560981774,27233.95671405394,0.0001,0.0001,2375.0,0.0001,4980.46875,0.0001,2505.2890876374504,0.0001,0.0001,0.0001,238.50842198581563,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4177.899516482366,1532.973432909243,0.0001,0.0001,8777.70877432126,0.0001,0.0001,3237.6326034044205,0.0001,853.240088463303
490,1360345800000,1360346100000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1814.9514827627577,0.0001,0.0001,0.0001,977.0535714285712,0.0001,0.0001,0.0001,0.0001,4903.042037716833,0.0001,0.0001,7106.25,0.0001,0.0001,0.0001,0.0001,102757.03104905052,17646.282316446115,581.9121047330276,0.0001,2852.941176470588,0.0001,3562.5,4374.33999662618,872.0788997595979,0.0001,0.0001,0.0001,73.0818351321853,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3982.5777949141393,2166.764992779314,0.0001,3875.0,2375.0,0.0001,0.0001,2812.991971285832,0.0001,470.9642824950337
